sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
82	52 motorcycles	6 dollar bills	quantObject	1	52	1	simplified	impersonal	d	Yes	7.96831950001272	N/A	-1	0.238388059701493	0.0360345615140011	0.476776119402985	1	0.5	1	2549.16666666667	1950.92843372108	TRUE	0.523223880597015	1	0.384856360501376	7.58346313951134	0.5
82	9 pennies	a toothbrush	quantObject	1	5	1	simplified	impersonal	k	No	8.46505743699571	N/A	-1	0.674725409836066	0.0413093421960347	0.650549180327869	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.349450819672131	1	0.0696544185511332	8.39540301844458	0.7
82	53 vending machines	8 motorcycles	quantObject	1	62	1	simplified	impersonal	k	No	7.50494206839617	N/A	-1	0.669491666666667	0.0427024079932994	0.661016666666667	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.338983333333333	1	-0.0356581553959767	7.54060022379215	0.7
82	47 teddy bears	3 water bottles	quantObject	1	65	1	simplified	impersonal	k	No	7.46622755621548	N/A	-1	0.371237288135593	0.044023241287278	0.742474576271186	1	0.8	0	2549.16666666667	1950.92843372108	TRUE	0.257525423728814	0	-0.0647380141515788	7.53096557036706	0.8
82	49 pieces of jewelry	3 pencils	quantObject	1	100	1	simplified	impersonal	d	Yes	7.47477218239787	N/A	-1	0.133583333333333	0.0315984512914793	0.267166666666667	1	0.3	1	2549.16666666667	1950.92843372108	TRUE	0.732833333333333	1	-0.0020103849103279	7.4767825673082	0.3
82	48 mailboxes	7 dinosaur fossils	quantObject	1	91	1	simplified	impersonal	k	No	7.04838640872188	N/A	-1	0.839092	0.0316384659635787	0.321816	-1	0.4	1	2549.16666666667	1950.92843372108	FALSE	-0.678184	1	-0.435663807802005	7.48405021652389	0.4
82	3 umbrellas	a motorcycle	quantObject	1	94	1	simplified	impersonal	k	No	7.15929190479756	N/A	-1	0.756561475409836	0.0382425299324904	0.486877049180328	-1	0.5	1	2549.16666666667	1950.92843372108	FALSE	-0.513122950819672	1	-0.322015036922807	7.48130694172037	0.5
82	a water bottle	48 pairs of shoes	quantObject	1	78	1	simplified	impersonal	k	No	7.98412195870293	N/A	-1	0.28746	0.0377371500314013	0.57492	-1	0.6	1	2549.16666666667	1950.92843372108	FALSE	-0.42508	1	0.483049751245142	7.50107220745778	0.6
82	8 motorcycles	a paper plate	quantObject	1	1	1	simplified	impersonal	d	Yes	9.42011495555144	N/A	-1	0.0799871794871795	0.0246756485900893	0.159974358974359	1	0.2	1	2549.16666666667	1950.92843372108	TRUE	0.840025641025641	1	0.848035916044564	8.57207903950687	0.2
82	9 smartphones	9 passports	quantObject	1	59	1	simplified	impersonal	d	Yes	7.69484807238461	N/A	-1	0.480846715328467	0.0436254875745444	0.961693430656934	1	1	1	2549.16666666667	1950.92843372108	TRUE	0.038306569343066	1	0.143276145666625	7.55157192671799	1
